Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.4867916524168,..,..,..,..,65.1795127055462,..,..,..,..,64.922461997785,..,..,..,..,64.5226827135877,..,..,..,..,65.2455916800454,66.8357271071327,66.02317421224,61.3667445152584,59.0103302514867,61.2526557952932,56.2870467224308,56.9108083545081,..,..
Afghanistan,AFG,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.5157270361909,23.5228152802563,24.645147945536,25.7688870464189,26.8995728522227,28.0385769239566,29.1807950596847,30.411773922925,31.6546636107506,32.9096781726027,34.177027723266,35.4570999886872,36.7499624027606,38.0558319810101,39.3749320885894,40.7077070107199,42.0541827707493,43.4176100145511,..,..
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.7718968294813,27.7972561390736,29.9007630194185,32.0050750124616,34.1262340113876,36.2652606739186,38.4063573194182,40.844181451178,43.315058867851,45.8190881970419,48.3563600604649,50.9273073282852,53.5317041603749,56.1696450791411,58.8412323271526,61.5469297111081,64.2864836343148,67.0646234205214,..,..
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.7186632445467,..,..,..,..,22.029218279463,..,..,..,..,21.998248157076,..,..,..,..,21.5752579644029,..,..,..,..,21.2778281243428,22.7725366537911,20.5782591769838,19.9385171053378,18.8839549651717,19.5125396228106,18.1899337514472,18.2006025215914,..,..
Albania,ALB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.3274959275497,89.0959982084727,89.8988596580289,90.6814152199513,91.4434873612271,92.1844992794815,92.9045726917553,93.6035087079281,94.2811487636543,94.9370722780768,95.5716999202353,96.1847704181257,96.7764332336587,97.3125483043076,97.6768549535362,97.6910339666252,97.7048765530935,97.7183683821447,..,..
Albania,ALB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.866618353128,87.8895518968793,87.9130892710283,87.9289348824885,87.9370346455539,87.9368285638127,87.9285581808857,87.9120756539579,87.8872507466531,87.8534189124145,87.8112853018009,87.7603370740151,87.8604324687508,89.461087876539,90.9812043833494,91.001022378025,91.0203701494956,91.0392276676191,..,..
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.9302577059946,..,..,..,..,36.4565841837832,..,..,..,..,37.5360503002013,..,..,..,..,35.8588265111515,..,..,..,..,33.6358202624012,33.8340477410328,33.3668262043692,34.2453279072063,35.563917177565,36.0891635653848,39.853273847241,38.8840106983002,..,..
Algeria,DZA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.730576615396,84.0721425099695,84.4007688339975,84.7162161679645,85.0186149397705,85.3078052066562,85.5842630446577,85.847854346242,86.0990176089512,86.3362023865121,86.5604296919394,86.7717408223521,86.9706485089717,87.1574535295076,87.3327341136295,87.4967167440158,87.5423164577779,87.5865709329942,..,..
Algeria,DZA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.8372590662203,90.1145985908531,90.3871693067252,90.6548045915483,90.9175452252237,91.1752559487698,91.4281899533328,91.6762174664479,91.9195732530921,92.1571351610754,92.3894651256094,92.6164629610168,92.8383506111362,93.0551923509207,93.267273345072,93.4745964173737,93.515850975676,93.55588814365,..,..
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.4790826565409,..,..,..,..,12.4790826565409,..,..,..,..,15.214667966958,..,..,..,..,15.2378416845987,..,..,..,..,15.0727217319968,15.3906418570512,14.3441501484645,14.1272255153053,13.3169920338184,13.0193901036704,12.3827298738272,12.4738202417443,..,..
